                Time    Luminosity_Ratio 
            0.000396             2.175987 
            0.001188             2.103242 
            0.001980             2.073812 
            0.002772             2.208916 
            0.003563             2.200489 
            0.004355             2.157119 
            0.005147             2.100727 
            0.005939             2.085425 
            0.006731             2.120264 
            0.007523             2.027322 
            0.008315             2.033113 
            0.009107             2.173447 
            0.009899             1.998998 
            0.010690             2.109224 
            0.011482             2.047073 
            0.012274             2.055120 
            0.013066             2.076696 
            0.013858             2.053339 
            0.014650             2.117004 
            0.015442             2.047913 
            0.016234             2.130595 
            0.017025             2.099693 
            0.017817             2.105073 
            0.018609             2.025164 
            0.019401             2.110630 
            0.020193             2.081348 
            0.020985             2.095739 
            0.021777             2.124031 
            0.022569             2.013952 
            0.023360             2.145162 
            0.024152             2.073615 
            0.024944             2.131956 
            0.025736             2.114210 
            0.026528             2.114677 
            0.027320             1.996779 
            0.028112             2.016526 
            0.028904             2.165203 
            0.029696             2.081714 
            0.030487             2.083995 
            0.031279             2.053985 
            0.032071             2.090738 
            0.032863             2.125602 
            0.033655             2.080035 
            0.034447             2.110490 
            0.035239             2.125481 
            0.036031             1.953567 
            0.036822             1.966909 
            0.037614             1.967784 
            0.038406             1.926018 
            0.039198             1.829924 
            0.039990             1.832445 
            0.040782             1.712198 
            0.041574             1.762166 
            0.042366             1.662422 
            0.043158             1.556706 
            0.043949             1.572373 
            0.044741             1.538842 
            0.045533             1.450501 
            0.046325             1.367079 
            0.047117             1.427330 
            0.047909             1.314220 
            0.048701             1.300604 
            0.049493             1.208103 
            0.050284             1.255145 
            0.051076             1.190181 
            0.051868             1.089459 
            0.052660             1.094164 
            0.053452             1.003202 
            0.054244             0.958404 
            0.055036             0.909058 
            0.055828             0.910032 
            0.056620             0.829072 
            0.057411             0.762156 
            0.058203             0.706898 
            0.058995             0.655974 
            0.059787             0.562117 
            0.060579             0.680433 
            0.061371             0.704216 
            0.062163             0.727821 
            0.062955             0.813595 
            0.063746             0.818768 
            0.064538             0.881248 
            0.065330             0.925124 
            0.066122             0.989084 
            0.066914             1.031329 
            0.067706             1.001296 
            0.068498             1.152791 
            0.069290             1.141792 
            0.070081             1.223036 
            0.070873             1.216435 
            0.071665             1.261247 
            0.072457             1.358304 
            0.073249             1.404316 
            0.074041             1.512345 
            0.074833             1.513069 
            0.075625             1.570841 
            0.076417             1.623507 
            0.077208             1.641205 
            0.078000             1.718359 
            0.078792             1.767483 
            0.079584             1.714587 
