                Time     Luminosity_Ratio     Variable_Star_DN      Variable_Sky_DN   Comparison_Star_DN    Comparison_Sky_DN 
            0.000000             1.692119         10269.753105          1383.587146          5251.503037             0.000000 
            0.000010             1.600544          9779.381695          1173.070467          5377.117222             0.000000 
            0.000020             1.592108          9932.889798          1984.862819          5511.276589           519.135105 
            0.000030             2.210876          9832.483901          1585.741752          4133.732109           403.653066 
            0.000040             2.449145         10841.181677           819.360942          4915.738395           823.770867 
            0.000050             2.866378         10638.111515           190.008240          4718.527787          1073.473312 
            0.000060             2.583948         10707.937864           145.390179          4494.766076           407.010102 
            0.000070             2.006264          9950.407422           996.551408          5279.457991           816.507462 
            0.000080             2.495680         10099.765007          1411.420026          4457.899716           976.546525 
            0.000090             2.218326          9638.752403          1420.819727          4499.465926           794.900357 
            0.000100             2.081191          9897.671438           873.134556          5342.448195          1006.210517 
            0.000110             2.592521         10023.346660          1275.734733          4619.891964          1245.719779 
            0.000120             2.208021         10507.675405          1960.936308          4911.954100          1041.184729 
            0.000130             3.094444          9961.272011           513.382366          4213.751640          1160.573138 
            0.000140             2.169656         10821.832942           396.862697          4804.895169             0.000000 
            0.000150             2.244614         10682.363353          1717.642750          4709.433271           715.552232 
            0.000160             2.592071         10929.258095            62.013611          4932.828761           740.333262 
            0.000170             1.905719          9375.255593          1345.988342          4663.899655           450.651570 
            0.000180             1.618867         10577.074496          1613.574633          5628.955962            92.059084 
            0.000190             1.918915         10523.300882          1722.098453          5786.187323          1199.636830 
            0.000200             1.548244          9381.298257          1851.924192          5546.555986           683.385723 
            0.000210             2.337588         10990.356151          1777.581103          4710.776086           769.631031 
            0.000220             2.197564         10787.774285          1838.068789          5307.473983          1234.916227 
            0.000230             3.273079         10856.929228           544.389172          4521.500290          1370.784631 
            0.000240             1.676915          9783.043916          1760.673849          4900.296030           116.290780 
            0.000250             2.139231         10005.890072          1397.259438          4024.170660             0.000000 
            0.000260             2.029733         10355.449080           553.239540          4829.309977             0.000000 
            0.000270             2.129856         10458.784753          1045.381024          4770.714438           350.978118 
            0.000280             2.406284         10705.862606           261.360515          5012.359996           671.849727 
            0.000290             1.733485         10461.226234          1275.002289          5832.209235           532.929472 
            0.000300             1.689465         10208.899197          1159.947508          5429.609058            73.503830 
            0.000310             3.103069         10319.315165          1441.328166          4322.519608          1461.485641 
            0.000320             1.931524         10123.630482          1620.166631          4521.988586           119.525742 
            0.000330             1.793174          9985.320597          1710.928678          5671.681875          1057.298502 
            0.000340             2.030480         10054.475539           726.950896          5339.518418           745.765557 
            0.000350             1.653275         10393.719291          1053.804132          5649.342326             0.000000 
            0.000360             1.599545         10162.450026          1645.985290          5439.741203           115.436262 
            0.000370             2.213636         10547.166356          1985.717338          4138.004700           270.409253 
            0.000380             1.627948          9125.675222          1740.958892          4536.210211             0.000000 
            0.000390             2.706486         10352.214118            60.060427          4656.941435           854.167302 
            0.000400             1.426155          9850.856044          1440.778832          5897.030549             0.000000 
            0.000410             1.613945          9205.511643           110.538041          5635.242775             0.000000 
            0.000420             2.078029         10933.530686          1856.746117          5493.087558          1125.110630 
            0.000430             1.850653         10329.691458          1242.896817          5435.102390           525.055696 
            0.000440             1.901444          9869.655446          1149.632252          4896.511734           310.510575 
            0.000450             2.485637         10859.065523           577.166051          5125.827815           989.303262 
            0.000460             1.411448         10016.205329          1647.022919          5929.502243             0.000000 
            0.000470             1.802134          9675.923948          1740.226447          5006.744591           603.244118 
            0.000480             1.871571          9302.072207          1710.379345          5061.983093          1005.661184 
            0.000490             2.310697         10996.215705           107.547227          4881.008332           168.721580 
            0.000500             1.858865         10689.382611           352.305673          5560.960723             0.000000 
            0.000510             2.184462          9705.587939           795.739616          4078.737754             0.000000 
            0.000520             2.104470         10383.709220           603.900266          5388.164922           741.004669 
            0.000530             2.080175         10445.295572          1404.339732          5230.628376           884.380627 
            0.000540             1.683712          9795.922727          1631.458480          4849.085971             0.000000 
            0.000550             1.846622         10448.103275          1508.468886          5791.375469           950.300607 
            0.000560             1.489544          9252.327036          1604.113895          5991.027558           856.425672 
            0.000570             1.880735         10124.423963           900.601215          5312.967315           408.597064 
            0.000580             1.882081          9456.190680          1310.892056          5751.640370          1423.825800 
            0.000590             2.065814          9397.839290           582.964568          4468.459120           201.437422 
            0.000600             2.691181         10698.232978           527.848140          4857.448042          1078.295236 
            0.000610             2.068614          9791.589099           509.720145          5825.067904          1338.068789 
            0.000620             1.941403          9817.835017          1135.288553          4472.304453             0.000000 
            0.000630             3.346926         10264.015625            79.165014          4367.625965          1324.579608 
            0.000640             2.985561         10913.998840           984.893338          4595.660268          1269.951476 
            0.000650             2.126709         10794.732505          1375.896481          5772.392956          1343.562120 
            0.000660             3.168724          9805.871761           517.044588          4211.127049          1279.717399 
            0.000670             2.015482          9720.480972          1162.694174          4429.883724           183.858760 
            0.000680             2.526827         10244.361705           127.994629          5184.850612          1181.264687 
            0.000690             2.139610         10821.405683          1623.340556          5219.092380           920.148320 
            0.000700             1.728700          9872.585223           286.812952          5913.998840           368.923002 
            0.000710             1.771143         10156.285287          1854.365673          5030.060732           342.738121 
            0.000720             2.106315          9936.796167           402.966399          4725.180822           198.873867 
            0.000730             3.634167         10649.220252           107.119968          4037.965026          1137.134922 
            0.000740             2.300396         10747.672964           443.067721          5022.980438           543.488876 
            0.000750             2.465088         10425.031281           780.480361          4726.279489           813.821833 
            0.000760             3.102441         10890.804773          1298.440504          4188.116092          1096.240120 
            0.000770             3.279863         10895.504624           162.602618          4660.359508          1387.997070 
            0.000780             2.959328         10188.085574          1902.157659          4226.264229          1426.328318 
            0.000790             1.930327         10595.202490           923.123875          5010.589923             0.000000 
            0.000800             2.235210         10408.368175          1096.163823          4166.142766             0.000000 
            0.000810             2.553617         10767.509995          1355.632191          4826.136052          1140.430921 
            0.000820             2.665863          9728.293710           248.481704          4208.136235           652.134770 
            0.000830             2.042201         10700.308237          1369.548631          5058.320872           489.349040 
            0.000840             2.261027         10943.662832           620.685446          5622.791223          1057.176428 
            0.000850             2.210432         10812.250130          1232.520524          4333.872494             0.000000 
            0.000860             1.806195          9429.944761          1484.603412          4398.937956             0.000000 
            0.000870             2.238843          9488.479263          1062.532426          4478.591266           715.063936 
            0.000880             2.298404         10853.450117           989.715262          4642.597736           351.039155 
            0.000890             1.484542          9666.646321          1070.101016          5790.704062             0.000000 
            0.000900             1.969216         10632.129887          1780.632954          5725.150304          1230.216376 
            0.000910             2.638171          9172.795801           550.370800          4064.088870           795.754875 
            0.000920             2.105638          9146.549883          1363.811151          5181.554613          1485.412152 
            0.000930             1.712329         10807.489242          1625.598926          5362.224189             0.000000 
            0.000940             1.768191         10701.162755          1225.012970          5359.233375             0.000000 
            0.000950             2.558250         10181.310465          1736.869411          4541.032136          1240.165410 
            0.000960             1.766547         10234.473708           696.432386          5816.339610           417.081210 
            0.000970             1.910212          9301.278726           886.745811          5522.873623          1117.847224 
            0.000980             1.525371          9780.846583          1574.022645          5469.893490            89.678640 
            0.000990             1.719305          9906.582842          1631.153294          5319.376202           506.134220 
